L1,L2,L2,L4,L3,L4,L10
L2,L2,L3,H2,L10,L4,L1
L2,L9,L4,L2,L2,L3,L5
L3,L4,L3,L1,L4,BS,L1
L4,L2,L2,H6,L5,H6,H3
L4,L6,L8,L3,H2,L3,L6
H6,L7,L4,L4,L3,H5,L4
L1,L4,L2,L2,L4,L1,L1
L7,L4,L5,L3,L2,L5,L2
L2,H5,L4,L5,L1,L3,L2
H6,L5,L1,L1,L3,L5,L1
H3,L5,L1,L7,L8,L1,L3
L1,L3,L5,L5,H5,H7,H3
L1,L5,L3,L1,L2,L1,L3
L2,L1,L7,L6,L2,H3,L4
L7,H6,L2,L3,H3,L8,L7
L2,L4,L3,L4,L5,L1,H5
H4,L2,H5,L4,L1,ES,L3
L2,L1,L1,L1,L6,L2,L2
L1,L1,H7,L2,BS,L2,L2
L10,L3,H7,L4,H7,H1,L5
L4,L1,L1,L6,L2,L7,L9
L5,L3,L7,L2,L2,L6,L1
L6,L1,L3,L9,L2,L1,BS
L2,L5,L2,L1,L1,L3,L2
L6,ES,L2,M,H7,H2,L5
L4,L1,L2,L3,L1,L6,L3
L2,L3,L6,L3,H4,L2,L1
H2,H6,L1,L5,L2,L2,L2
L9,L4,H4,L2,L1,H7,L2
L4,L3,L4,L1,L1,L9,L4
L2,L2,L6,H3,L1,L3,H1
L1,M,L1,H5,L4,L1,L5
L1,L3,L3,L6,L3,H5,L8
L1,L3,L2,L2,L1,L1,H2
L2,L4,L1,L2,L2,L1,L3
L2,L5,L7,L3,L3,L7,L3
L2,L3,L2,L1,L6,L1,L4
L1,L2,M,L3,L5,L4,H2
L1,L10,H3,L2,L3,L1,L1
L1,L3,L4,L4,L3,L5,L4
L2,L2,H3,L7,L1,L3,L9
L5,H3,L2,BS,L7,H6,L2
L1,L4,L6,L1,L5,L6,L6
H5,L8,L4,L9,L7,L2,L1
L1,L1,L3,L3,L3,L4,L2
L7,L2,L6,L1,L5,L4,L6
H7,L1,L10,L6,L4,L6,L2
H7,L2,L3,L3,L3,L3,H6
M,L1,H2,H7,L4,L1,H7
L3,L1,H1,H3,L2,L6,L4
H1,L1,L4,L1,L9,H7,L8
L4,L2,L2,L5,L7,L2,L1
L5,L7,H6,L2,L3,L2,H7
L3,L2,H5,L1,L1,L4,L1
H4,H2,H7,L7,L1,L5,L4
L3,L1,L6,H2,L5,H3,L2
L2,L1,L1,L3,L3,L4,M
L3,H7,L4,ES,L6,L1,L3
H7,H4,L3,L1,H2,L2,L4
L4,L3,L1,L8,H1,L9,H5
L4,L3,L9,H7,L1,H4,H4
H2,L2,L4,L1,L2,L3,L4
L3,L2,L2,L4,L3,L2,L5
L2,L4,H2,L8,L8,L4,L3
L5,L2,L3,L6,L5,L6,L1
L5,H1,L1,L2,L1,L7,L5
L6,L3,L4,H4,L4,L1,L3
L1,L5,L2,L6,L6,L2,L4
L1,H7,L5,L4,L2,H2,L3
L5,H5,L1,L5,L2,L3,L1
L8,L5,L1,H5,L1,L1,H6
L3,L1,L8,H1,L4,L2,L1
L7,L1,H6,L1,L4,L2,L7
L1,H7,L1,L3,H6,L5,L3
L9,L9,L1,L2,H3,L3,L1
L6,H3,L5,L3,L4,L10,L2
L3,L7,L1,L1,L2,M,L6
L1,L6,L8,H4,L6,L2,L1
L4,L6,L2,L1,H7,L1,L2
L5,L2,L3,L5,M,L2,L1
L5,L1,BS,L1,L4,L1,L5
L4,H2,L1,L2,L1,L1,L2
L1,H4,L9,H7,L1,L3,L1
L8,L3,L5,H6,L1,H4,L6
L2,L1,H4,L1,L7,L7,L8
L4,L3,L1,L4,H5,L4,L2
H3,L7,L3,L4,L6,L1,L5
L3,L6,L5,L2,L3,L4,L4
L3,L1,L3,L8,L8,L5,L2
L3,L4,L5,L7,H6,L3,L3
H5,L1,L2,L3,L5,L8,L1
L3,L8,L1,L10,H4,L5,H4
L6,L6,L2,L2,L2,L8,L3
L8,BS,L7,L5,L4,L2,H7
L1,L2,L5,L3,L9,L3,L3
L3,L8,L1,L1,L2,L2,L6
BS,L4,L4,L2,L3,L1,L1
L3,L6,L3,L5,L1,L5,L7
L6,L5,L6,L2,L1,L3,L7
